Rank,Release Group,Worldwide,Domestic,%,Foreign,%
93,Suck Me Shakespeer 3,"$64,236,772",-,-,"$64,236,772",100%
94,Detective Conan: Crimson Love Letter,"$63,144,805",-,-,"$63,144,805",100%
95,The Mountain Between Us,"$62,832,209","$30,348,555",48.3%,"$32,483,654",51.7%
96,The Star,"$62,812,974","$40,852,824",65%,"$21,960,150",35%
97,How to Be a Latin Lover,"$62,547,032","$32,149,404",51.4%,"$30,397,628",48.6%
98,47 Meters Down,"$62,187,529","$44,307,191",71.2%,"$17,880,338",28.8%
99,"Everything, Everything","$61,621,140","$34,121,140",55.4%,"$27,500,000",44.6%
100,Doraemon: Great Adventure in the Antarctic Kachi Kochi,"$61,153,455",-,-,"$61,153,455",100%
101,Snatched,"$60,845,711","$45,852,178",75.4%,"$14,993,533",24.6%
102,The Founding of an Army,"$60,600,361",-,-,"$60,600,361",100%
103,My Little Pony: The Movie,"$60,330,833","$21,885,107",36.3%,"$38,445,726",63.7%
104,Molly's Game,"$59,284,015","$28,780,744",48.5%,"$30,503,271",51.5%
105,The Devotion of Suspect X,"$59,035,664","$686,435",1.2%,"$58,349,229",98.8%
106,Shock Wave,"$58,815,633",-,-,"$58,815,633",100%
107,Goldbuster,"$57,628,292","$186,135",0.3%,"$57,442,157",99.7%
108,All the Money in the World,"$56,996,304","$25,113,707",44.1%,"$31,882,597",55.9%
109,The Big Sick,"$56,411,585","$42,873,127",76%,"$13,538,458",24%
110,Confidential Assignment,"$55,972,241","$475,618",0.8%,"$55,496,623",99.2%
111,All Eyez on Me,"$55,668,698","$44,922,302",80.7%,"$10,746,396",19.3%
112,Downsizing,"$55,003,890","$24,449,754",44.5%,"$30,554,136",55.5%
113,"I, Tonya","$53,939,297","$30,014,539",55.6%,"$23,924,758",44.4%
114,1987: When the Day Comes,"$53,833,618",-,-,"$53,833,618",100%
115,The Outlaws,"$52,946,454",-,-,"$52,946,454",100%
116,Bleeding Steel,"$48,825,526",-,-,"$48,825,526",100%
117,Logan Lucky,"$48,453,605","$27,780,977",57.3%,"$20,672,628",42.7%
118,Boo 2! A Madea Halloween,"$48,333,932","$47,319,572",97.9%,"$1,014,360",2.1%
119,Sky Hunter,"$48,065,601",-,-,"$48,065,601",100%
120,Phantom Thread,"$47,756,590","$21,198,205",44.4%,"$26,558,385",55.6%
121,Rough Night,"$47,347,283","$22,105,643",46.7%,"$25,241,640",53.3%
122,Son of Bigfoot,"$47,046,281","$289,308",0.6%,"$46,756,973",99.4%
123,Three Seconds,"$46,596,415",-,-,"$46,596,415",100%
124,The Thousand Faces of Dunjia,"$46,263,237","$124,187",0.3%,"$46,139,050",99.7%
125,The Battleship Island,"$46,183,383","$1,104,957",2.4%,"$45,078,426",97.6%
126,Hanson and the Beast,"$46,154,323",-,-,"$46,154,323",100%
127,Gintama Live Action the Movie,"$45,746,967",-,-,"$45,746,967",100%
128,Guilty of Mind,"$45,698,503",-,-,"$45,698,503",100%
129,Flatliners,"$45,158,254","$16,883,115",37.4%,"$28,275,139",62.6%
130,Bad Genius,"$44,560,421",-,-,"$44,560,421",100%
131,Mother!,"$44,516,999","$17,800,004",40%,"$26,716,995",60%
132,Wind River,"$43,980,821","$33,800,859",76.9%,"$10,179,962",23.1%
133,Battle of Memories,"$43,892,362","$594,552",1.4%,"$43,297,810",98.6%
134,The Snowman,"$43,155,261","$6,700,035",15.5%,"$36,455,226",84.5%
135,Gifted,"$43,046,590","$24,801,212",57.6%,"$18,245,378",42.4%
136,Loving Vincent,"$42,187,665","$6,735,118",16%,"$35,452,547",84%
137,Mary and the Witch's Flower,"$41,978,431","$2,418,404",5.8%,"$39,560,027",94.2%
138,Call Me by Your Name,"$41,887,595","$18,095,701",43.2%,"$23,791,894",56.8%
139,T2 Trainspotting,"$41,681,746","$2,402,004",5.8%,"$39,279,742",94.2%
140,Fist Fight,"$41,087,017","$32,187,017",78.3%,"$8,900,000",21.7%
141,The Circle,"$40,656,399","$20,497,844",50.4%,"$20,158,555",49.6%
142,Diary of a Wimpy Kid: The Long Haul,"$40,140,972","$20,738,724",51.7%,"$19,402,248",48.3%
143,Brotherhood of Blades 2,"$39,966,092","$14,204",<0.1%,"$39,951,888",100%
144,Midnight Runners,"$39,730,433",-,-,"$39,730,433",100%
145,The King,"$37,886,707",-,-,"$37,886,707",100%
146,Pokémon the Movie: I Choose You!,"$37,552,144","$2,401,722",6.4%,"$35,150,422",93.6%
147,Home Again,"$37,270,721","$27,020,284",72.5%,"$10,250,437",27.5%
148,The Adventurers,"$36,796,816","$216,556",0.6%,"$36,580,260",99.4%
149,Tad the Lost Explorer and the Secret of King Midas,"$35,704,046","$5,874",<0.1%,"$35,698,172",100%
150,Hostiles,"$35,669,017","$29,819,114",83.6%,"$5,849,903",16.4%
151,Namiya,"$35,351,623","$70,814",0.2%,"$35,280,809",99.8%
152,Destiny: The Tale of Kamakura,"$35,166,640",-,-,"$35,166,640",100%
153,The Liquidator,"$35,046,130",-,-,"$35,046,130",100%
154,Kidnap,"$34,814,102","$30,971,040",89%,"$3,843,062",11%
155,R.A.I.D. Special Unit,"$34,598,750",-,-,"$34,598,750",100%
156,The House,"$34,184,504","$25,584,504",74.8%,"$8,600,000",25.2%
157,I Want to Eat Your Pancreas,"$33,748,006","$277,019",0.8%,"$33,470,987",99.2%
158,Perfect Strangers,"$33,262,366","$1,014,507",3.1%,"$32,247,859",96.9%
159,Sleepless,"$32,917,353","$20,783,704",63.1%,"$12,133,649",36.9%
160,Hindi Medium,"$32,841,493",-,-,"$32,841,493",100%
161,Steel Rain,"$32,783,733",-,-,"$32,783,733",100%
162,C'est la vie!,"$32,764,243",-,-,"$32,764,243",100%
163,The House That Never Dies: Reawakening,"$32,433,588",-,-,"$32,433,588",100%
164,The Invisible Guest,"$31,191,910",-,-,"$31,191,910",100%
165,This Is Not What I Expected,"$30,996,615","$337,670",1.1%,"$30,658,945",98.9%
166,Posledniy bogatyr,"$30,618,274",-,-,"$30,618,274",100%
167,Reset 2017 Re-release,"$29,949,252","$108,970",0.4%,"$29,840,282",99.6%
168,The Bye Bye Man,"$29,874,280","$22,395,806",75%,"$7,478,474",25%
169,The Disaster Artist,"$29,820,616","$21,120,616",70.8%,"$8,700,000",29.2%
170,The Swindlers,"$29,721,916","$241,916",0.8%,"$29,480,000",99.2%
171,Alibi.com,"$29,370,592",-,-,"$29,370,592",100%
172,Sword Art Online the Movie: Ordinal Scale,"$29,322,339","$1,522,976",5.2%,"$27,799,363",94.8%
173,Recep Ivedik 5,"$28,952,258",-,-,"$28,952,258",100%
174,Judwaa 2,"$28,733,523","$1,431,255",5%,"$27,302,268",95%
175,The Fortress,"$28,645,448","$252,895",0.9%,"$28,392,553",99.1%
176,What Happened to Monday,"$27,975,429",-,-,"$27,975,429",100%
177,Monster Family,"$27,890,108","$127,259",0.5%,"$27,762,849",99.5%
178,The Beguiled,"$27,869,129","$10,709,995",38.4%,"$17,159,134",61.6%
179,CHIPS,"$26,800,152","$18,600,152",69.4%,"$8,200,000",30.6%
180,A Cure for Wellness,"$26,620,002","$8,106,986",30.5%,"$18,513,016",69.5%
181,Only the Brave,"$26,351,322","$18,343,983",69.6%,"$8,007,339",30.4%
182,Twenty Two,"$26,289,378","$46,796",0.2%,"$26,242,582",99.8%
183,The Zookeeper's Wife,"$26,152,835","$17,571,660",67.2%,"$8,581,175",32.8%
184,Badrinath Ki Dulhania,"$26,134,309","$1,993,259",7.6%,"$24,141,050",92.4%
185,A Chinese Odyssey: Part Two - Cinderella 2017 Re-release,"$25,960,664",-,-,"$25,960,664",100%
186,Love Off the Cuff,"$25,959,989",-,-,"$25,959,989",100%
187,Fireworks,"$25,672,406","$525,280",2%,"$25,147,126",98%
188,Father Figures,"$25,601,244","$17,501,244",68.4%,"$8,100,000",31.6%
189,Money,"$25,403,753",-,-,"$25,403,753",100%
190,The Death of Stalin,"$24,646,055","$8,047,856",32.7%,"$16,598,199",67.3%
191,The 8-Year Engagement,"$24,425,963",-,-,"$24,425,963",100%
192,Jolly LLB 2,"$24,214,186","$1,654,254",6.8%,"$22,559,932",93.2%
193,I Can Speak,"$24,024,444","$63,239",0.3%,"$23,961,205",99.7%
194,Wish Upon,"$23,468,586","$14,301,505",60.9%,"$9,167,081",39.1%
195,Detroit,"$23,355,100","$16,790,139",71.9%,"$6,564,961",28.1%
196,Extraordinary Mission,"$22,757,764","$54,174",0.2%,"$22,703,590",99.8%
197,The Glass Castle,"$22,088,533","$17,273,059",78.2%,"$4,815,474",21.8%
198,Leap! 2017 Re-release,"$21,929,861","$21,858,070",99.7%,"$71,791",0.3%
199,Épouse-moi mon pote,"$21,571,464",-,-,"$21,571,464",100%
200,The Prison,"$21,205,329","$207,481",1%,"$20,997,848",99%
201,One Hundred Thousand Bad Jokes 2,"$20,460,352",-,-,"$20,460,352",100%
202,Memoirs of a Murderer,"$20,211,045",-,-,"$20,211,045",100%
203,Hirugao,"$20,122,011",-,-,"$20,122,011",100%
204,This Crazy Heart,"$20,118,769",-,-,"$20,118,769",100%
205,It Comes at Night,"$19,735,344","$13,985,117",70.9%,"$5,750,227",29.1%
206,Attraction,"$19,454,845",-,-,"$19,454,845",100%
207,Sekigahara,"$19,356,047",-,-,"$19,356,047",100%
208,The Lost City of Z,"$19,263,938","$8,580,410",44.5%,"$10,683,528",55.5%
209,Santa & Cie,"$19,222,086",-,-,"$19,222,086",100%
210,Memoir of a Murderer,"$19,015,346","$91,335",0.5%,"$18,924,011",99.5%
211,Father and Son,"$18,764,047",-,-,"$18,764,047",100%
212,Battle of the Sexes,"$18,598,607","$12,638,526",68%,"$5,960,081",32%
213,Listy do M. 3,"$18,490,245",-,-,"$18,490,245",100%
214,Yo-Kai Watch 4,"$18,385,844",-,-,"$18,385,844",100%
215,Manhunt,"$18,339,343",-,-,"$18,339,343",100%
216,Big Baker's Unlucky Bear,"$18,330,043",-,-,"$18,330,043",100%
217,Fabricated City,"$18,307,490","$104,874",0.6%,"$18,202,616",99.4%
218,The Sheriff in Town,"$18,303,514",-,-,"$18,303,514",100%
219,The Case for Christ,"$18,175,663","$14,682,684",80.8%,"$3,492,979",19.2%
220,Mr. Pride vs. Miss Prejudice,"$18,019,651",-,-,"$18,019,651",100%
221,Mumon: The Land of Stealth,"$17,952,505",-,-,"$17,952,505",100%
222,Unforgettable,"$17,768,012","$11,368,012",64%,"$6,400,000",36%
223,Jue zhan shi shen,"$17,677,325",-,-,"$17,677,325",100%
224,Toilet: A Love Story,"$17,567,417","$1,830,715",10.4%,"$15,736,702",89.6%
225,Fate/Stay Night: Heaven's Feel - I. Presage Flower,"$17,422,935","$193,833",1.1%,"$17,229,102",98.9%
226,Legend of the Naga Pearls,"$17,274,695","$13,588",<0.1%,"$17,261,107",99.9%
227,New Trial,"$17,198,072",-,-,"$17,198,072",100%
228,Bullyparade: The Movie,"$16,943,483",-,-,"$16,943,483",100%
229,Kaabil,"$16,795,775",-,-,"$16,795,775",100%
230,Salyut-7,"$16,746,823",-,-,"$16,746,823",100%
231,Hold Your Hands,"$16,444,489",-,-,"$16,444,489",100%
232,Before I Fall,"$16,373,843","$12,241,122",74.8%,"$4,132,721",25.2%
233,See You Up There,"$16,094,346",-,-,"$16,094,346",100%
234,The Space Between Us,"$16,080,475","$7,885,294",49%,"$8,195,181",51%
235,Seventy-Seven Days,"$15,988,889",-,-,"$15,988,889",100%
236,Wonder Wheel,"$15,889,124","$1,404,061",8.8%,"$14,485,063",91.2%
237,Anarchist from Colony,"$15,876,791",-,-,"$15,876,791",100%
238,Seer Movie 6: Invincible Puni,"$15,874,097",-,-,"$15,874,097",100%
239,Yolki novye,"$15,735,317",-,-,"$15,735,317",100%
240,Tuntematon sotilas,"$15,717,199",-,-,"$15,717,199",100%
241,Teiichi: Battle of Supreme High,"$15,545,390",-,-,"$15,545,390",100%
242,Paths of the Soul 2017 Re-release,"$15,409,665",-,-,"$15,409,665",100%
243,Jab Harry Met Sejal,"$15,360,368","$1,664,648",10.8%,"$13,695,720",89.2%
244,Woody Woodpecker,"$15,316,635",-,-,"$15,316,635",100%
245,Mixed Doubles,"$15,224,207",-,-,"$15,224,207",100%
246,Crayon Shin-Chan: Invasion!! Alien Shiriri,"$15,216,719",-,-,"$15,216,719",100%
247,Once Upon a Time in the Northeast,"$15,208,575",-,-,"$15,208,575",100%
248,Partners: The Movie IV,"$15,104,791",-,-,"$15,104,791",100%
249,The One,"$14,897,163",-,-,"$14,897,163",100%
250,Gold,"$14,880,939","$7,227,038",48.6%,"$7,653,901",51.4%
251,School of Life,"$14,880,497","$6,300",<0.1%,"$14,874,197",100%
252,The Game Changer,"$14,875,966",-,-,"$14,875,966",100%
253,Megan Leavey,"$14,510,490","$13,406,883",92.4%,"$1,103,607",7.6%
254,Botoks,"$14,387,546",-,-,"$14,387,546",100%
255,Little Bird's Big Adventure,"$14,375,849",-,-,"$14,375,849",100%
256,Tall Tales from the Magical Garden of Antoon Krings,"$14,340,726",$220,<0.1%,"$14,340,506",100%
257,Tri bogatyrya i printsessa Egipta,"$14,184,783",-,-,"$14,184,783",100%
258,The Missing,"$13,887,720",-,-,"$13,887,720",100%
259,The Miracles of the Namiya General Store,"$13,871,918",-,-,"$13,871,918",100%
260,The Golden Monk,"$13,867,066",-,-,"$13,867,066",100%
261,The Little Vampire 3D,"$13,808,590",-,-,"$13,808,590",100%
262,Do It Like An Hombre,"$13,610,252","$2,534,252",18.6%,"$11,076,000",81.4%
263,The Third Murder,"$13,411,936","$89,315",0.7%,"$13,322,621",99.3%
264,Our President,"$13,392,049","$507,268",3.8%,"$12,884,781",96.2%
265,Paris Can Wait,"$13,203,541","$5,617,731",42.5%,"$7,585,810",57.5%
266,"Roman J. Israel, Esq.","$13,025,860","$11,962,778",91.8%,"$1,063,082",8.2%
267,Ayla,"$13,010,729",-,-,"$13,010,729",100%
268,The Guardian,"$13,006,233",-,-,"$13,006,233",100%
269,Mubarakan,"$12,899,968","$758,868",5.9%,"$12,141,100",94.1%
270,Earth: One Amazing Day,"$12,851,540","$81,345",0.6%,"$12,770,195",99.4%
271,Suburbicon,"$12,751,667","$5,775,178",45.3%,"$6,976,489",54.7%
272,Their Finest,"$12,597,262","$3,603,484",28.6%,"$8,993,778",71.4%
273,The Jungle Bunch,"$12,459,081",-,-,"$12,459,081",100%
274,The Promise,"$12,448,676","$8,224,288",66.1%,"$4,224,388",33.9%
275,Marrowbone,"$12,294,931","$1,377",<0.1%,"$12,293,554",100%
276,The Bookshop,"$12,055,868","$1,588,150",13.2%,"$10,467,718",86.8%
277,Outrage Coda,"$11,983,269",-,-,"$11,983,269",100%
278,Viceroy's House,"$11,868,221","$1,105,717",9.3%,"$10,762,504",90.7%
279,Baadshaho,"$11,859,437",-,-,"$11,859,437",100%
280,Back to Burgundy,"$11,625,884","$257,610",2.2%,"$11,368,274",97.8%
281,"Fala Sério, Mãe!","$11,616,161",-,-,"$11,616,161",100%
282,L'ora legale,"$11,514,055",-,-,"$11,514,055",100%
283,The King's Case Note,"$11,383,493","$90,959",0.8%,"$11,292,534",99.2%
284,Like a Cat on a Highway,"$11,369,741",-,-,"$11,369,741",100%
285,Kiseki: Sobito of That Day,"$11,185,497",-,-,"$11,185,497",100%
286,The Belko Experiment,"$11,084,630","$10,166,820",91.7%,"$917,810",8.3%
287,77 Heartbreaks,"$11,077,852",-,-,"$11,077,852",100%
288,Battle of Xiangjiang River,"$11,037,772",-,-,"$11,037,772",100%
289,Deep,"$10,972,294",-,-,"$10,972,294",100%
290,The Florida Project,"$10,971,298","$5,904,366",53.8%,"$5,066,932",46.2%
291,Le brio,"$10,968,212",-,-,"$10,968,212",100%
292,High & Low: The Movie 2 - End of Sky,"$10,956,658",-,-,"$10,956,658",100%
293,A Bag of Marbles,"$10,898,998","$411,318",3.8%,"$10,487,680",96.2%
294,It's for Your Own Good,"$10,873,271",-,-,"$10,873,271",100%
295,The Bros,"$10,776,902",-,-,"$10,776,902",100%
296,Ten Days Without Mom,"$10,769,678",-,-,"$10,769,678",100%
297,Ajin: Demi-Human,"$10,750,712",-,-,"$10,750,712",100%
298,High Society,"$10,659,805",-,-,"$10,659,805",100%
299,The Leisure Seeker,"$10,472,180","$3,226,443",30.8%,"$7,245,737",69.2%
300,Furious,"$10,433,259","$9,996",<0.1%,"$10,423,263",99.9%
301,Gnome Alone,"$10,373,182",-,-,"$10,373,182",100%
302,Kamen Rider Heisei Generations Final: Build & Ex-Aid with Legend Riders,"$10,289,397",-,-,"$10,289,397",100%
303,Wished,"$10,238,078",-,-,"$10,238,078",100%
304,The Brink,"$10,217,493",-,-,"$10,217,493",100%
305,Marshall,"$10,116,816","$10,051,659",99.4%,"$65,157",0.6%
306,Bibi & Tina: Perfect Pandemonium,"$10,097,791",-,-,"$10,097,791",100%
307,Aile Arasinda,"$10,081,222",-,-,"$10,081,222",100%
308,Thank You for Your Service,"$9,995,692","$9,536,300",95.4%,"$459,392",4.6%
309,The Healer,"$9,979,800",-,-,"$9,979,800",100%
310,Forgotten,"$9,968,972",-,-,"$9,968,972",100%
311,Our Shining Days,"$9,949,926",-,-,"$9,949,926",100%
312,Peace Breaker,"$9,796,094",-,-,"$9,796,094",100%
313,First Time 2017 Re-release,"$9,785,305",-,-,"$9,785,305",100%
314,The War of Loong,"$9,782,949",-,-,"$9,782,949",100%
315,He Even Has Your Eyes,"$9,755,458",-,-,"$9,755,458",100%
316,Maudie,"$9,733,932","$6,170,998",63.4%,"$3,562,934",36.6%
317,Guardians,"$9,729,418",-,-,"$9,729,418",100%
318,V.I.P.,"$9,710,283",-,-,"$9,710,283",100%
319,Rock'n Roll,"$9,684,093",-,-,"$9,684,093",100%
320,Spacewalk,"$9,677,311",-,-,"$9,677,311",100%
321,Overdrive,"$9,650,552","$7,793",<0.1%,"$9,642,759",99.9%
322,High & Low: The Movie 3 - Final Mission,"$9,591,095",-,-,"$9,591,095",100%
323,God of War,"$9,559,524","$53,000",0.6%,"$9,506,524",99.4%
324,The 12th Man,"$9,554,803",-,-,"$9,554,803",100%
325,With Open Arms,"$9,548,364",-,-,"$9,548,364",100%
326,The Square,"$9,493,791","$1,502,347",15.8%,"$7,991,444",84.2%
327,Our Time Will Come,"$9,484,714","$114,560",1.2%,"$9,370,154",98.8%
328,Daytime Shooting Star,"$9,481,654",-,-,"$9,481,654",100%
329,The Mayor 2017 Re-release,"$9,476,194","$96,777",1%,"$9,379,417",99%
330,The Big Bad Fox and Other Tales,"$9,399,067","$35,787",0.4%,"$9,363,280",99.6%
331,Mathilde,"$9,365,944",-,-,"$9,365,944",100%
332,The Mimic,"$9,362,702",-,-,"$9,362,702",100%
333,You Were Never Really Here,"$9,360,514","$2,528,078",27%,"$6,832,436",73%
334,Revenge for Love,"$9,242,543",-,-,"$9,242,543",100%
335,Promise at Dawn,"$9,242,157",-,-,"$9,242,157",100%
336,Tulip Fever,"$9,204,549","$2,455,635",26.7%,"$6,748,914",73.3%
337,Çalgi Çengi Ikimiz,"$9,201,129",-,-,"$9,201,129",100%
338,My Cousin Rachel,"$9,200,168","$2,716,368",29.5%,"$6,483,800",70.5%
339,Let's Go Jets,"$9,176,187",-,-,"$9,176,187",100%
340,City Of Rock,"$9,118,873","$312,537",3.4%,"$8,806,336",96.6%
341,Narratage,"$9,097,805",-,-,"$9,097,805",100%
342,The Last Recipe: Memory of Giraffe's Tongue,"$8,960,664",-,-,"$8,960,664",100%
343,The Art of Loving: Story of Michalina Wislocka,"$8,869,345",-,-,"$8,869,345",100%
344,Bluebeard,"$8,855,737","$43,144",0.5%,"$8,812,593",99.5%
345,The Villainess,"$8,737,458","$27,741",0.3%,"$8,709,717",99.7%
346,Step by Step,"$8,700,784",-,-,"$8,700,784",100%
