Rank,Release Group,Worldwide,Domestic,%,Foreign,%
278,Carrossel 2: O Sumiço de Maria Joaquina,"$11,972,853",-,-,"$11,972,853",100%
279,Toni Erdmann,"$11,784,207","$1,479,387",12.6%,"$10,304,820",87.4%
280,Museum,"$11,757,642",-,-,"$11,757,642",100%
281,Tik Tok,"$11,702,016",-,-,"$11,702,016",100%
282,Erased,"$11,636,849",-,-,"$11,636,849",100%
283,For Love,"$11,487,632",-,-,"$11,487,632",100%
284,Your Lie in April,"$11,444,510",-,-,"$11,444,510",100%
285,Seasons,"$11,425,100","$150,092",1.3%,"$11,275,008",98.7%
286,The Mountain II,"$11,378,898",-,-,"$11,378,898",100%
287,Friend Request,"$10,975,390","$3,759,078",34.3%,"$7,216,312",65.7%
288,The Darkness,"$10,898,293","$10,753,574",98.7%,"$144,719",1.3%
289,Mao Fengmei 2016 Re-release,"$10,854,121",-,-,"$10,854,121",100%
290,Mr. Happiness,"$10,748,185",-,-,"$10,748,185",100%
291,A Stroke of Luck,"$10,730,040",-,-,"$10,730,040",100%
292,What a Wonderful Family!,"$10,728,188",-,-,"$10,728,188",100%
293,Galapagos 2016 Re-release,"$10,718,800",-,-,"$10,718,800",100%
294,Our Kind of Traitor,"$10,711,027","$3,153,157",29.4%,"$7,557,870",70.6%
295,The Mole Song: Hong Kong Capriccio,"$10,677,009",-,-,"$10,677,009",100%
296,Wolf Girl and Black Prince,"$10,639,039",-,-,"$10,639,039",100%
297,Black Widow Business,"$10,504,345",-,-,"$10,504,345",100%
298,The Black Devil and the White Prince,"$10,415,892",-,-,"$10,415,892",100%
299,The Perfect Match,"$10,414,738","$9,669,521",92.8%,"$745,217",7.2%
300,Queen of Katwe,"$10,367,161","$8,874,389",85.6%,"$1,492,772",14.4%
301,Hide and Seek,"$10,315,084",-,-,"$10,315,084",100%
302,If Cats Disappeared from the World,"$10,284,664",-,-,"$10,284,664",100%
303,Ivan Tsarevich i Seryy Volk 3,"$10,033,929",-,-,"$10,033,929",100%
304,The King's Choice,"$10,017,316","$113,231",1.1%,"$9,904,085",98.9%
305,Yell for the Blue Sky,"$10,017,253",-,-,"$10,017,253",100%
306,I Married a Dumbass,"$9,958,164",-,-,"$9,958,164",100%
307,Detective Conan: The Darkest Nightmare,"$9,953,934",-,-,"$9,953,934",100%
308,The Secret,"$9,923,066",-,-,"$9,923,066",100%
309,High & Low: The Red Rain,"$9,921,150",-,-,"$9,921,150",100%
310,Everest: The Summit of the Gods,"$9,901,480",-,-,"$9,901,480",100%
311,The Magnificent Nine,"$9,826,255",-,-,"$9,826,255",100%
