Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$783,400,000",-,-,"$783,400,000",100%
2,Detective Chinatown 3,"$680,703,003",-,-,"$680,703,003",100%
3,A Writer's Odyssey,"$149,385,099","$110,779",<0.1%,"$149,274,320",99.9%
4,Endgame,"$89,743,460","$23,149",<0.1%,"$89,720,311",100%
5,Boonie Bears: The Wild Life,"$77,703,944",-,-,"$77,703,944",100%
6,Tom and Jerry,"$67,000,000","$28,200,000",42.1%,"$38,800,000",57.9%
7,Raya and the Last Dragon,"$56,482,606","$19,682,606",34.8%,"$36,800,000",65.2%
8,Nazha Reborn,"$56,088,478",-,-,"$56,088,478",100%
9,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
10,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
11,Evangelion: 3.0+1.0 Thrice Upon a Time,"$30,600,000",-,-,"$30,600,000",100%
12,Master,"$28,692,230",-,-,"$28,692,230",100%
13,The Last Warrior: Root of Evil,"$28,338,091",-,-,"$28,338,091",100%
14,The Little Things,"$27,131,000","$14,231,000",52.5%,"$12,900,000",47.5%
15,I Fell in Love Like A Flower Bouquet,"$24,456,255",-,-,"$24,456,255",100%
16,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
17,Avatar 2021 Re-release,"$21,100,000",-,-,"$21,100,000",100%
18,The Marksman,"$18,403,724","$14,288,447",77.6%,"$4,115,277",22.4%
19,Gintama: The Final,"$16,781,796",-,-,"$16,781,796",100%
20,Upon the Magic Roads,"$13,284,522",-,-,"$13,284,522",100%
21,Chaos Walking,"$12,768,633","$7,768,633",60.8%,"$5,000,000",39.2%
22,The Dry,"$12,194,400",-,-,"$12,194,400",100%
23,Krack,"$10,442,916",-,-,"$10,442,916",100%
24,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
25,Meitantei Conan: Hiiro no fuzai shômei,"$8,466,010",-,-,"$8,466,010",100%
26,Suicide Forest Village,"$5,584,171",-,-,"$5,584,171",100%
27,Octonauts: The Ring of Fire,"$5,300,000",-,-,"$5,300,000",100%
28,Dad,"$5,015,023",-,-,"$5,015,023",100%
29,Judas and the Black Messiah,"$5,009,000","$4,709,000",94%,"$300,000",6%
30,Red,"$4,920,261",-,-,"$4,920,261",100%
31,Under the Open Sky,"$4,347,196",-,-,"$4,347,196",100%
32,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
33,Minari,"$3,425,494","$1,090,723",31.8%,"$2,334,771",68.2%
34,Penguin Bloom,"$3,359,614",-,-,"$3,359,614",100%
35,Mission Possible,"$3,298,287",-,-,"$3,298,287",100%
36,The Mauritanian,"$3,270,200","$770,200",23.6%,"$2,500,000",76.4%
37,Boogie,"$2,662,475","$2,662,475",100%,-,-
38,Land,"$2,530,205","$2,530,205",100%,-,-
39,Bo Gia,"$2,388,943",-,-,"$2,388,943",100%
40,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
41,Couple from the Future,"$2,149,883",-,-,"$2,149,883",100%
42,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
43,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
44,Wrong Turn,"$1,937,251","$695,487",35.9%,"$1,241,764",64.1%
45,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
46,The Con-Heartist,"$1,560,356",-,-,"$1,560,356",100%
47,Nomadland,"$1,462,125","$1,236,000",84.5%,"$226,125",15.5%
48,La La Land 2020 Re-release,"$1,456,649",-,-,"$1,456,649",100%
49,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
50,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
51,The Sun Does Not Move,"$1,300,000",-,-,"$1,300,000",100%
52,I Care a Lot,"$1,264,611",-,-,"$1,264,611",100%
53,Zombie Reddy,"$1,242,321",-,-,"$1,242,321",100%
54,Sailor Moon Eternal,"$1,130,225",-,-,"$1,130,225",100%
55,Extinct,"$1,052,320",-,-,"$1,052,320",100%
56,The Way We Keep Dancing,"$1,019,162",-,-,"$1,019,162",100%
57,The North Wind,"$1,003,414",-,-,"$1,003,414",100%
58,Zoya,"$944,885",-,-,"$944,885",100%
59,Shadow in the Cloud,"$907,247","$40,000",4.4%,"$867,247",95.6%
60,In the Mood for Love 2020 Re-release,"$864,284",-,-,"$864,284",100%
61,High Ground,"$751,024",-,-,"$751,024",100%
62,Long Story Short,"$664,672",-,-,"$664,672",100%
63,Our Friend,"$657,351","$657,351",100%,-,-
64,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
65,Music,"$619,049",-,-,"$619,049",100%
66,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
67,Dark Spell,"$515,596",-,-,"$515,596",100%
68,Jathi Ratnalu,"$487,717","$470,000",96.4%,"$17,717",3.6%
69,Cousins,"$486,624",-,-,"$486,624",100%
70,Maya the Bee 3: The Golden Orb,"$473,519",-,-,"$473,519",100%
71,Kalathil Sandhippom,"$453,001",-,-,"$453,001",100%
72,Twist,"$437,728",-,-,"$437,728",100%
73,The Cinderella Addiction,"$421,202",-,-,"$421,202",100%
74,Bangaru Bullodu,"$418,267",-,-,"$418,267",100%
75,Ainbo,"$405,723",-,-,"$405,723",100%
76,Crisis,"$404,738","$404,738",100%,-,-
77,Willy's Wonderland,"$396,959","$396,959",100%,-,-
78,Boss Level,"$390,175",-,-,"$390,175",100%
79,One Second Champion,"$389,525",-,-,"$389,525",100%
80,Riders of Justice,"$376,314",-,-,"$376,314",100%
81,Russian Yug,"$348,435",-,-,"$348,435",100%
