Rank,Release Group,Worldwide,Domestic,%,Foreign,%
82,Long Weekend,"$336,481","$336,481",100%,-,-
83,The Emperor's New Groove 2021 Re-release,"$334,000","$334,000",100%,-,-
84,Supernova,"$331,954","$238,867",72%,"$93,087",28%
85,Kabadadaari,"$302,563",-,-,"$302,563",100%
86,Abominable 2021 Re-release,"$299,414","$110,000",36.7%,"$189,414",63.3%
87,Dawn Raid,"$292,713",-,-,"$292,713",100%
88,My Salinger Year,"$285,346","$48,693",17.1%,"$236,653",82.9%
89,Ginger's Tale,"$284,298",-,-,"$284,298",100%
90,Don't Heal Me,"$282,513",-,-,"$282,513",100%
91,Hidden Figures 2021 Re-release,"$268,295",-,-,"$268,295",100%
92,Vellam,"$233,364",-,-,"$233,364",100%
93,Kto-nibud videl moyu devchonku?,"$231,092",-,-,"$231,092",100%
94,Lamb of God: The Concert Film,"$223,496","$223,496",100%,-,-
95,The Only Way Out,"$220,658",-,-,"$220,658",100%
96,Earwig and the Witch,"$208,134","$173,704",83.5%,"$34,430",16.5%
97,"Have Fun, Vasya! Date in Bali","$199,291",-,-,"$199,291",100%
98,Juega Conmigo,"$198,134",-,-,"$198,134",100%
99,Dutch,"$190,603","$190,603",100%,-,-
100,Go back,"$190,002",-,-,"$190,002",100%
101,The Child Who Would Not Come,"$187,589",-,-,"$187,589",100%
102,Um Tio Quase Perfeito 2,"$180,607",-,-,"$180,607",100%
103,Occupation: Rainfall,"$174,016",-,-,"$174,016",100%
104,Kill It and Leave This Town,"$168,705",-,-,"$168,705",100%
105,Groundhog Day 2021 Re-release,"$166,447","$166,447",100%,-,-
106,The Reckoning,"$163,594","$143,532",87.7%,"$20,062",12.3%
107,Sound of Metal,"$148,476",-,-,"$148,476",100%
108,Blind,"$147,131",-,-,"$147,131",100%
109,No Man's Land,"$139,221","$139,221",100%,-,-
110,Scarecrow,"$128,665",-,-,"$128,665",100%
111,The Vault,"$126,490",-,-,"$126,490",100%
112,Jurassic World 2021 Re-release,"$115,000","$115,000",100%,-,-
113,Anything for Jackson,"$109,556",-,-,"$109,556",100%
114,The World to Come,"$108,871","$108,871",100%,-,-
115,Redemption Day,"$106,365",-,-,"$106,365",100%
116,From the Vine,"$99,610",-,-,"$99,610",100%
117,Khara Khaar,"$89,983",-,-,"$89,983",100%
118,Our Friend 2021 Re-release,"$89,277",-,-,"$89,277",100%
119,The Elfkins 2021 Re-release,"$86,613",-,-,"$86,613",100%
120,Breakout Brothers,"$85,037",-,-,"$85,037",100%
121,Breaking News in Yuba County,"$80,261",-,-,"$80,261",100%
122,Belleville Cop 2021 Re-release,"$77,657",-,-,"$77,657",100%
123,My Missing Valentine,"$74,787",-,-,"$74,787",100%
124,The Lord of the Rings: The Fellowship of the Ring 2019 Re-release,"$72,968",-,-,"$72,968",100%
125,Simple Passion,"$72,358",-,-,"$72,358",100%
126,Hvernig á að vera Klassa Drusla,"$72,030",-,-,"$72,030",100%
127,Russia from Above,"$71,629",-,-,"$71,629",100%
128,Remember the Titans 2021 Re-release,"$65,000","$65,000",100%,-,-
129,Sing 2021 Re-release,"$53,462","$53,000",99.1%,$462,0.9%
130,Dara of Jasenovac,"$52,502","$52,502",100%,-,-
131,The Wall of Shadows,"$52,104",-,-,"$52,104",100%
132,My Zoe,"$50,820","$50,820",100%,-,-
133,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$50,509",-,-,"$50,509",100%
134,MLK/FBI,"$45,200","$45,200",100%,-,-
135,Harry Potter and the Deathly Hallows: Part 1 2021 Re-release,"$44,240",-,-,"$44,240",100%
136,Some Kind of Heaven,"$43,492","$43,492",100%,-,-
137,Harry Potter and the Goblet of Fire 2021 Re-release,"$42,124",-,-,"$42,124",100%
138,Come True,"$41,732","$41,732",100%,-,-
139,Little Fish,"$39,053","$39,053",100%,-,-
140,10 Things We Should Do Before We Break Up,"$38,362",-,-,"$38,362",100%
141,Son,"$37,618","$37,618",100%,-,-
142,Maledetto Modigliani,"$35,932",-,-,"$35,932",100%
143,Kieu @,"$34,914",-,-,"$34,914",100%
144,Food Club,"$31,563",-,-,"$31,563",100%
145,Roohi,"$28,196",-,-,"$28,196",100%
146,Bloody Hell,"$28,037","$28,037",100%,-,-
147,Playhouse,"$27,436",-,-,"$27,436",100%
148,Brave Father Online: Our Story of Final Fantasy XIV 2021 Re-release,"$27,203",-,-,"$27,203",100%
149,The Night,"$26,114","$26,114",100%,-,-
150,Daisy Quokka: World's Scariest Animal,"$25,562",-,-,"$25,562",100%
151,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$24,638",-,-,"$24,638",100%
152,Fear of Rain,"$24,565",-,-,"$24,565",100%
153,"Botticelli, Florence And The Medici","$24,250",-,-,"$24,250",100%
154,Breaking the Waves 2021 Re-release,"$23,500",-,-,"$23,500",100%
155,The Voice of the Moon,"$23,222",-,-,"$23,222",100%
156,The Redeemers,"$22,283",-,-,"$22,283",100%
157,My Big Mama's Crazy Ride,"$22,004",-,-,"$22,004",100%
158,Big Miracle 2021 Re-release,"$20,846",-,-,"$20,846",100%
159,Korporatsiya Ad Libitum,"$20,779",-,-,"$20,779",100%
160,Honeydew,"$20,563","$20,563",100%,-,-
161,Beyond the Sky,"$19,761",-,-,"$19,761",100%
162,The Priest,"$19,737",-,-,"$19,737",100%
163,Dead Reckoning,"$18,016",-,-,"$18,016",100%
164,JT LeRoy 2021 Re-release,"$16,549",-,-,"$16,549",100%
165,Cosmic Sin,"$14,010",-,-,"$14,010",100%
166,The People Upstairs,"$13,990",-,-,"$13,990",100%
167,Body Brokers,"$13,472",-,-,"$13,472",100%
168,Kazdy ma swoje lato,"$12,406",-,-,"$12,406",100%
169,È per il tuo bene,"$12,023",-,-,"$12,023",100%
170,The Very Excellent Mr. Dundee,"$11,529",-,-,"$11,529",100%
171,About Hope,"$10,814","$10,814",100%,-,-
172,The Murder of Nicole Brown Simpson 2021 Re-release,"$10,414",-,-,"$10,414",100%
173,The Host,"$10,305",-,-,"$10,305",100%
174,All Hands on Deck,"$10,103",-,-,"$10,103",100%
175,Stray,"$9,883","$9,780",99%,$103,1%
176,Rurangi,"$9,829",-,-,"$9,829",100%
177,Ramprasad Ki Tehrvi,"$9,727",-,-,"$9,727",100%
178,Average Joe,"$9,176","$9,176",100%,-,-
179,Here We Are,"$9,128",-,-,"$9,128",100%
180,What Lies Below,"$8,550",-,-,"$8,550",100%
181,Days of the Bagnold Summer,"$7,812",-,-,"$7,812",100%
182,Dark State,"$6,761","$6,761",100%,-,-
183,Knuckledust,"$6,428",-,-,"$6,428",100%
184,Hunted,"$6,391",-,-,"$6,391",100%
185,Sumikko Gurashi the Movie: The Unexpected Picture Book and the Secret Child 2021 Re-release,"$6,332",-,-,"$6,332",100%
186,The Incredible 25th Year of Mitzi Bearclaw,"$6,125","$6,125",100%,-,-
187,Barb and Star Go to Vista Del Mar,"$5,842",-,-,"$5,842",100%
188,Uppena,"$5,794",-,-,"$5,794",100%
189,Jack and the Cuckoo-Clock Heart 2021 Re-release,"$5,532",-,-,"$5,532",100%
190,Tomato Red: Blood Money,"$5,504","$5,504",100%,-,-
191,Zombie Bro,"$5,208","$5,208",100%,-,-
192,Abandoned: Angelique's Isle,"$4,817","$4,817",100%,-,-
193,Safer at Home,"$4,680",-,-,"$4,680",100%
194,The Penitent Thief,"$4,451",-,-,"$4,451",100%
195,Check,"$4,363",-,-,"$4,363",100%
196,The Delivered,"$4,221",-,-,"$4,221",100%
197,438 Days,"$4,076",-,-,"$4,076",100%
198,Twin Murders: The Silence of the White City 2021 Re-release,"$3,803",-,-,"$3,803",100%
199,Madam Chief Minister,"$3,797",-,-,"$3,797",100%
200,Line of Descent,"$3,599",-,-,"$3,599",100%
201,Turn of the Screw,"$3,491",-,-,"$3,491",100%
202,For the Sake of Vicious,"$3,131",-,-,"$3,131",100%
203,Tuesdays and Fridays,"$2,983",-,-,"$2,983",100%
204,Trash 2 Dash,"$2,840",-,-,"$2,840",100%
205,No Place,"$2,705","$2,705",100%,-,-
206,Belle & Sebastian,"$2,633",-,-,"$2,633",100%
207,Fellini of the Spirits,"$2,586",-,-,"$2,586",100%
208,Mother to Earth,"$2,250","$2,250",100%,-,-
209,A Glitch in the Matrix,"$2,238","$2,238",100%,-,-
210,The Pinkies Are Back,"$1,520",-,-,"$1,520",100%
211,Adopt a Daddy 2021 Re-release,"$1,351",-,-,"$1,351",100%
212,Elbow Grease,$917,$917,100%,-,-
213,Automation,$824,-,-,$824,100%
214,The Dig,$693,-,-,$693,100%
215,Run with the Hunted,$682,-,-,$682,100%
216,Money Plane,$618,-,-,$618,100%
217,Békeidö,$431,-,-,$431,100%
218,Life On Deniston Plateau,$254,-,-,$254,100%
219,Woman on the Beach 2021 Re-release,$160,-,-,$160,100%
220,Distorted 2021 Re-release,$152,-,-,$152,100%
221,Billie Eilish: The World's a Little Blurry,$139,-,-,$139,100%
